,Pick,Teams,Draft Year,Player,Games Played,TotalMinPlayed,TotalPointsScored,TotalRebounds,TotalAssist,FieldGoal_%,3point_% ,FreeThrow_%,Win Shares,Win_sharesPer48mins,BoxPlus-Minus,ValueOverReplacementPlayer,AveMinPerGame,AvePointsPerGame,AveReboundPerGame,AveAssistPerGame
0,1,BRK,1990,Derrick Coleman,781.0,25903.0,12884.0,7232.0,1985.0,0.447,0.295,0.769,64.3,0.119,1.4,22.3,33.2,16.5,9.3,2.5
1,2,OKC,1990,Gary Payton,1335.0,47117.0,21813.0,5269.0,8966.0,0.466,0.317,0.729,145.5,0.148,3.3,62.5,35.3,16.3,3.9,6.7
2,3,DEN,1990,Mahmoud Abdul-Rauf,586.0,15628.0,8553.0,1087.0,2079.0,0.442,0.354,0.905,25.2,0.077,0.0,4.5,26.7,14.6,1.9,3.5
3,4,ORL,1990,Dennis Scott,629.0,17983.0,8094.0,1774.0,1296.0,0.417,0.397,0.793,33.4,0.089,0.2,9.9,28.6,12.9,2.8,2.1
4,5,CHA,1990,Kendall Gill,966.0,29481.0,12914.0,4002.0,2945.0,0.434,0.3,0.754,47.8,0.078,0.1,15.8,30.5,13.4,4.1,3.0
5,6,MIN,1990,Felton Spencer,640.0,12298.0,3354.0,3436.0,213.0,0.484,0.0,0.658,20.9,0.081,0.0,0.0,19.2,5.2,5.4,0.3
6,7,SAC,1990,Lionel Simmons,454.0,13472.0,5833.0,2833.0,1498.0,0.433,0.305,0.771,16.9,0.06,0.0,6.7,29.7,12.8,6.2,3.3
7,8,LAC,1990,Bo Kimble,105.0,1336.0,574.0,162.0,98.0,0.386,0.291,0.728,0.1,0.004,0.0,0.0,12.7,5.5,1.5,0.9
8,9,MIA,1990,Willie Burton,316.0,6666.0,3243.0,932.0,393.0,0.424,0.345,0.786,9.1,0.065,0.0,0.0,21.1,10.3,2.9,1.2
9,10,ATL,1990,Rumeal Robinson,336.0,6098.0,2546.0,606.0,1179.0,0.432,0.344,0.611,5.2,0.041,0.0,0.8,18.1,7.6,1.8,3.5
10,11,GSW,1990,Tyrone Hill,801.0,22388.0,7532.0,6854.0,647.0,0.502,0.0,0.643,56.2,0.12,0.0,0.8,28.0,9.4,8.6,0.8
11,12,HOU,1990,Alec Kessler,210.0,2937.0,1084.0,751.0,81.0,0.426,0.417,0.744,2.0,0.033,0.0,0.0,14.0,5.2,3.6,0.4
12,13,LAC,1990,Loy Vaught,689.0,16993.0,6984.0,4881.0,652.0,0.504,0.244,0.718,35.8,0.101,0.0,2.2,24.7,10.1,7.1,0.9
13,14,SAC,1990,Travis Mays,115.0,2964.0,1273.0,233.0,326.0,0.41,0.362,0.749,2.4,0.039,0.0,0.0,25.8,11.1,2.0,2.8
14,15,MIA,1990,Dave Jamerson,90.0,594.0,306.0,77.0,61.0,0.392,0.277,0.86,0.2,0.018,0.0,0.0,6.6,3.4,0.9,0.7
15,16,MIL,1990,Terry Mills,678.0,16422.0,7175.0,3680.0,891.0,0.457,0.384,0.781,33.3,0.097,0.0,5.9,24.2,10.6,5.4,1.3
16,17,NYK,1990,Jerrod Mustaf,179.0,1902.0,721.0,452.0,99.0,0.449,0.0,0.648,1.7,0.043,0.0,0.0,10.6,4.0,2.5,0.6
17,18,SAC,1990,Duane Causwell,541.0,9409.0,2648.0,2273.0,243.0,0.507,0.286,0.618,15.8,0.081,0.0,0.0,17.4,4.9,4.2,0.4
18,19,BOS,1990,Dee Brown,608.0,16843.0,6758.0,1569.0,2227.0,0.436,0.357,0.825,33.4,0.095,0.8,11.6,27.7,11.1,2.6,3.7
