,Player,No. of Times Selected to Play in All Star Game
0,Kareem Abdul-Jabbar,19
1,Kobe Bryant,18
2,LeBron James,18
3,Tim Duncan,15
4,Kevin Garnett,15
5,Shaquille O'Neal,15
6,Michael Jordan,14
7,Karl Malone,14
8,Dirk Nowitzki,14
9,Jerry West,14
10,Wilt Chamberlain,13
11,Bob Cousy,13
12,John Havlicek,13
13,Dwyane Wade,13
14,Larry Bird,12
15,Kevin Durant,12
16,Elvin Hayes,12
17,Magic Johnson,12
18,Moses Malone,12
19,Hakeem Olajuwon,12
20,Chris Paul,12
21,Oscar Robertson,12
22,Bill Russell,12
23,Dolph Schayes,12
24,Isiah Thomas,12
25,Charles Barkley,11
26,Elgin Baylor,11
27,Chris Bosh,11
28,Julius Erving,11
29,Patrick Ewing,11
30,Allen Iverson,11
31,Bob Pettit,11
32,Ray Allen,10
33,Carmelo Anthony,10
34,Paul Arizin,10
35,Clyde Drexler,10
36,Hal Greer,10
37,James Harden,10
38,Jason Kidd,10
39,Paul Pierce,10
40,David Robinson,10
41,John Stockton,10
42,George Gervin,9
43,Robert Parish,9
44,Gary Payton,9
45,Russell Westbrook,9
46,Lenny Wilkens,9
47,Dominique Wilkins,9
48,Rick Barry,8
49,Vince Carter,8
50,Dave Cowens,8
51,Stephen Curry,8
52,Anthony Davis,8
53,Dave DeBusschere,8
54,Alex English,8
55,Larry Foust,8
56,Dwight Howard,8
57,Bob Lanier,8
58,Dikembe Mutombo,8
59,Steve Nash,8
60,Bill Sharman,8
61,Yao Ming,8
62,LaMarcus Aldridge,7
63,Dave Bing,7
64,Walt Frazier,7
65,Harry Gallatin,7
66,Paul George,7
67,Grant Hill,7
68,Kyrie Irving,7
69,Joe Johnson,7
70,Jerry Lucas,7
71,Ed Macauley,7
72,Slater Martin,7
73,Tracy McGrady,7
74,Dick McGuire,7
75,Kevin McHale,7
76,Alonzo Mourning,7
77,Scottie Pippen,7
78,Willis Reed,7
79,Jack Sikma,7
80,Nate Thurmond,7
81,Chet Walker,7
82,Jo Jo White,7
83,James Worthy,7
84,Giannis Antetokounmpo,6
85,Nate Archibald,6
86,Jimmy Butler,6
