Player ID,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
0,2895,1990,18.43,2.2,1.34,6.62,10.26,0.51,0.18,6.95,6.95,5.97,4.36,0.96,35:09,2.93
1,2968,1990,7.17,6.44,0.18,1.65,2.96,0.16,0.01,3.16,3.16,1.18,0.84,2.01,27:21,2.2
2,3023,1990,14.06,3.07,0.06,1.3,1.81,1.49,0.36,6.22,6.22,1.46,1.25,0.82,22:27,1.64
3,531,1990,15.66,1.63,0.3,2.11,2.87,4.07,1.52,6.13,6.13,2.49,1.87,0.76,28:29,1.55
4,2952,1990,11.05,3.7,0.48,1.93,3.21,0.17,0.02,4.59,4.59,2.22,1.85,1.27,23:42,1.99
5,616,1990,7.06,0.31,1.49,4.56,7.91,0.01,0.0,2.41,2.41,3.11,2.25,0.59,25:54,0.95
6,2919,1990,17.99,3.99,1.08,6.38,8.82,0.14,0.04,6.95,6.95,5.51,4.05,1.43,37:41,2.91
7,2905,1990,6.92,1.23,0.13,1.24,1.92,1.05,0.31,2.56,2.56,1.92,1.48,0.48,16:11,1.24
8,546,1990,12.04,1.41,0.32,1.99,3.45,0.39,0.05,4.49,4.49,3.86,3.01,0.95,25:22,1.89
9,608,1990,5.64,2.81,0.17,1.09,1.51,0.23,0.04,2.3,2.3,1.7,1.0,0.68,14:20,1.62
10,2895,1991,19.83,3.15,1.51,6.38,9.51,1.17,0.35,7.43,7.43,6.05,4.62,0.83,33:57,3.82
11,2968,1991,9.43,6.25,0.26,2.12,3.64,0.28,0.04,4.09,4.09,1.83,1.22,1.81,31:28,2.15
12,3023,1991,10.33,2.37,0.05,1.14,1.41,1.16,0.38,4.4,4.4,1.33,1.16,0.54,18:59,1.44
13,531,1991,19.94,1.94,0.5,2.89,3.67,4.94,1.61,7.39,7.39,3.94,3.56,1.11,33:46,1.72
14,2952,1991,20.53,4.16,0.58,3.0,5.09,0.32,0.08,8.43,8.43,4.82,3.59,1.95,36:47,2.28
15,616,1991,6.64,0.87,1.3,4.39,7.13,0.0,0.0,2.31,2.31,2.92,2.02,0.44,24:16,1.15
16,2919,1991,17.13,4.32,1.69,6.22,8.13,0.06,0.01,6.76,6.76,4.68,3.6,1.73,37:06,2.79
17,2905,1991,3.29,0.5,0.18,0.56,0.94,0.38,0.12,1.29,1.29,0.91,0.59,0.29,8:08,0.44
18,546,1991,11.21,1.81,0.54,2.47,3.59,0.22,0.09,4.12,4.12,3.6,2.88,0.68,23:18,1.75
19,608,1991,13.02,5.51,0.3,1.91,2.7,1.28,0.42,5.22,5.22,3.4,2.16,1.3,27:24,2.54
20,671,1991,19.22,3.56,0.62,7.02,10.96,0.27,0.06,7.51,7.51,4.99,4.13,0.99,37:09,1.95
21,697,1991,7.03,3.17,0.14,1.39,1.98,0.2,0.05,2.92,2.92,1.53,1.14,1.05,16:58,1.52
22,684,1991,14.26,2.35,0.81,4.95,7.99,0.11,0.01,5.85,5.85,3.9,2.55,1.13,31:22,2.24
23,660,1991,16.58,2.2,2.96,7.8,12.25,0.0,0.0,6.03,6.03,7.04,4.52,0.61,38:15,3.55
24,685,1991,8.83,1.7,0.45,3.45,5.14,0.14,0.0,3.83,3.83,1.59,1.17,0.82,22:27,1.28
25,706,1991,4.26,0.8,0.97,2.88,3.89,0.0,0.0,1.73,1.73,1.21,0.8,0.53,15:00,1.26
26,661,1991,10.59,2.21,0.18,1.84,2.89,0.39,0.05,4.38,4.38,2.43,1.78,2.03,30:18,2.04
27,673,1991,13.34,2.45,0.33,2.79,5.12,0.07,0.01,5.37,5.37,3.9,2.6,1.51,30:32,2.21
28,702,1991,9.1,0.69,1.1,3.27,5.67,0.0,0.0,3.56,3.56,2.96,1.98,0.85,18:51,1.79
29,2895,1992,20.68,3.63,1.66,7.96,11.21,1.3,0.3,7.42,7.42,6.86,5.54,1.21,36:18,3.2
30,2968,1992,13.54,4.87,0.26,2.27,3.43,0.41,0.09,5.8,5.8,2.39,1.84,2.16,31:04,1.8
31,3023,1992,19.17,4.25,0.1,2.15,2.78,2.43,0.86,7.81,7.81,2.86,2.68,1.04,33:27,2.31
32,531,1992,15.89,2.52,0.33,2.74,3.44,4.96,2.0,6.09,6.09,2.17,1.7,1.06,32:34,1.93
33,2952,1992,16.91,3.88,0.52,3.19,4.93,0.9,0.25,6.71,6.71,4.2,3.25,1.42,35:13,2.52
34,616,1992,4.13,0.24,0.93,2.68,4.56,0.0,0.0,1.48,1.48,1.79,1.17,0.32,18:15,0.99
35,2919,1992,17.9,4.52,0.55,4.91,7.17,0.16,0.01,6.78,6.78,5.28,4.32,1.38,36:15,2.84
36,2905,1992,3.67,0.56,0.0,0.89,1.22,0.89,0.22,1.56,1.56,0.89,0.33,0.11,6:06,0.67
37,546,1992,7.85,0.62,0.62,1.85,2.69,0.58,0.19,2.08,2.08,4.88,3.5,0.5,17:20,1.92
38,608,1992,8.4,4.04,0.15,1.38,1.99,0.7,0.25,3.38,3.38,2.44,1.4,1.2,19:48,1.75
39,671,1992,22.07,4.3,0.33,7.11,10.54,0.87,0.22,8.88,8.88,5.34,4.1,0.65,40:31,2.77
40,697,1992,16.85,8.16,0.2,3.18,4.11,0.45,0.13,6.73,6.73,4.22,3.27,1.75,36:32,2.78
41,684,1992,16.54,3.89,0.76,4.22,7.14,0.3,0.03,6.68,6.68,4.95,3.16,0.95,32:27,2.86
42,660,1992,13.79,1.79,3.5,8.85,13.05,0.0,0.0,4.85,4.85,6.0,4.09,0.52,36:56,2.63
43,685,1992,10.39,1.7,0.85,3.8,5.38,0.07,0.0,4.74,4.74,1.21,0.92,0.79,24:59,1.89
44,706,1992,5.8,0.93,1.4,3.07,4.36,0.0,0.0,2.42,2.42,1.35,0.96,0.85,19:00,1.6
45,661,1992,7.46,2.63,0.06,1.46,2.15,0.13,0.0,3.29,3.29,1.25,0.88,1.44,23:46,1.5
46,673,1992,13.99,2.33,0.25,2.0,3.93,0.05,0.0,5.44,5.44,4.21,3.11,1.25,28:55,2.15
47,702,1992,4.57,0.24,0.81,1.52,2.67,0.05,0.0,1.9,1.9,0.95,0.76,0.67,11:25,1.19
48,735,1992,23.37,1.88,3.53,9.63,13.85,0.02,0.0,9.05,9.05,8.9,5.27,0.74,37:54,3.79
49,771,1992,21.01,0.97,3.47,6.95,10.32,0.04,0.0,7.33,7.33,8.13,6.35,0.35,33:53,3.03
50,740,1992,18.17,2.75,1.02,6.63,8.74,0.49,0.05,6.21,6.21,6.83,5.7,1.3,34:51,3.4
51,793,1992,16.32,4.68,0.39,2.86,4.36,2.61,0.75,6.57,6.57,3.29,2.43,1.43,33:30,4.11
52,752,1992,14.7,1.84,1.35,5.73,9.07,0.16,0.02,5.89,5.89,3.87,2.89,0.88,33:31,1.87
53,731,1992,14.65,3.78,0.43,6.94,9.64,1.67,0.47,5.98,5.98,3.47,2.23,1.65,34:30,2.84
54,732,1992,16.97,3.02,0.49,2.54,4.49,3.24,1.03,6.07,6.07,5.12,3.8,1.12,28:21,3.03
55,727,1992,13.85,1.65,0.68,2.07,4.1,2.59,0.76,5.04,5.04,4.18,3.0,1.06,27:11,1.66
56,736,1992,6.61,0.98,0.2,3.18,5.27,0.01,0.0,2.29,2.29,2.89,2.02,0.7,18:53,1.22
57,2895,1993,20.25,3.4,1.84,7.9,11.3,1.57,0.49,7.03,7.03,7.36,5.7,0.88,36:04,2.7
58,2968,1993,16.45,6.02,0.23,2.0,3.28,0.66,0.18,7.12,7.12,3.4,2.02,2.29,35:08,2.11
59,3023,1993,17.96,4.53,0.13,1.76,2.1,1.66,0.53,7.35,7.35,2.86,2.74,1.03,32:42,1.89
60,531,1993,12.76,2.63,0.39,2.0,2.66,4.73,1.89,4.68,4.68,1.94,1.5,0.99,27:50,1.13
61,2952,1993,14.06,3.48,0.41,2.24,3.39,1.52,0.48,5.43,5.43,3.48,2.72,1.91,30:49,1.81
62,616,1993,8.57,0.54,0.85,5.35,8.33,0.0,0.0,3.24,3.24,3.44,2.09,0.52,27:58,1.61
63,2919,1993,15.05,4.07,0.67,5.25,7.49,0.23,0.08,5.81,5.81,4.31,3.35,1.39,36:01,2.44
64,546,1993,7.0,0.74,0.38,1.62,2.57,0.28,0.06,2.34,2.34,2.98,2.26,0.34,13:09,1.02
65,608,1993,4.23,2.03,0.1,0.84,1.03,0.65,0.26,1.77,1.77,0.94,0.42,0.58,12:46,1.39
66,671,1993,16.35,3.61,0.27,5.98,8.78,0.41,0.1,6.78,6.78,3.86,2.69,0.57,34:27,2.27
67,697,1993,18.76,9.56,0.18,2.84,3.93,1.61,0.49,7.02,7.02,5.16,4.22,1.93,38:13,3.24
68,684,1993,15.01,4.13,0.76,5.19,8.1,0.19,0.04,6.23,6.23,4.13,2.52,1.05,34:39,2.71
69,660,1993,12.02,1.55,4.1,8.35,11.84,0.01,0.0,4.45,4.45,5.35,3.12,0.72,34:47,2.51
70,685,1993,8.84,1.51,0.48,2.97,4.42,0.11,0.03,3.73,3.73,1.61,1.34,1.04,21:18,1.18
71,706,1993,6.95,1.43,1.04,4.0,5.7,0.01,0.0,2.88,2.88,1.64,1.18,0.59,19:45,1.57
72,661,1993,3.88,1.21,0.02,0.55,0.98,0.24,0.05,1.64,1.64,0.81,0.55,0.93,11:48,0.95
73,673,1993,14.78,2.28,0.55,2.63,4.8,0.09,0.01,5.35,5.35,5.32,4.06,1.82,31:46,1.79
74,702,1993,7.99,0.63,1.09,3.85,5.58,0.04,0.0,3.14,3.14,2.64,1.71,0.61,18:50,1.3
75,735,1993,29.35,2.41,2.85,8.49,13.23,0.02,0.0,11.77,11.77,10.49,5.81,0.94,39:48,2.74
76,771,1993,21.45,1.43,3.13,7.22,10.17,0.03,0.0,7.12,7.12,9.47,7.22,0.45,33:38,3.32
77,740,1993,16.76,4.39,1.23,6.31,8.6,0.36,0.09,5.66,5.66,6.84,5.36,1.24,34:41,3.7
78,793,1993,19.22,4.56,0.3,2.67,4.73,0.73,0.21,7.77,7.77,4.23,3.48,1.06,37:23,4.07
79,752,1993,15.38,2.11,1.01,5.85,8.63,0.29,0.09,6.11,6.11,4.54,3.06,0.8,34:09,2.18
80,731,1993,17.09,3.54,0.65,6.91,9.33,1.9,0.51,6.92,6.92,3.99,2.73,2.21,35:50,3.17
81,732,1993,11.19,2.32,0.4,2.88,4.12,2.32,0.67,3.96,3.96,4.09,2.6,0.91,23:47,2.54
82,727,1993,12.71,1.82,0.68,2.57,4.08,1.95,0.43,4.62,4.62,4.36,3.04,1.36,27:59,1.7
83,736,1993,4.33,0.54,0.14,1.97,3.19,0.0,0.0,1.52,1.52,1.76,1.29,0.32,12:06,0.95
84,847,1993,17.54,3.58,2.16,5.12,9.13,0.18,0.0,7.53,7.53,4.67,2.49,1.22,32:04,2.71
85,818,1993,10.29,2.0,3.0,4.24,6.24,0.06,0.0,4.1,4.1,3.43,2.08,0.92,28:15,3.02
86,799,1993,16.01,6.63,0.62,3.01,5.35,2.28,0.61,6.21,6.21,4.02,2.99,2.32,36:46,3.56
87,826,1993,19.15,3.37,0.18,3.11,4.47,3.78,1.08,7.1,7.1,5.54,3.87,1.13,36:39,3.1
88,837,1993,16.62,2.56,0.35,2.49,3.99,1.9,0.68,6.61,6.61,3.35,2.72,0.68,30:34,2.76
89,820,1993,11.98,1.94,0.15,1.57,2.92,0.35,0.02,5.03,5.03,2.48,1.91,0.97,24:40,1.66
90,803,1993,7.05,6.05,0.05,1.47,1.79,0.84,0.11,2.84,2.84,1.58,1.26,0.68,26:15,2.53
91,810,1993,13.48,1.99,1.39,4.2,7.57,0.06,0.01,5.3,5.3,5.01,2.85,0.73,31:13,1.98
92,806,1993,8.1,1.28,0.61,1.72,2.86,1.16,0.44,3.03,3.03,2.39,1.61,0.8,17:47,1.66
93,835,1993,10.28,4.76,0.12,1.73,2.3,2.52,0.84,4.09,4.09,1.73,1.27,1.48,26:29,2.24
94,2895,1994,20.46,3.34,1.68,7.57,10.55,2.14,0.5,6.63,6.63,8.75,6.71,0.63,37:33,3.07
95,2968,1994,20.6,7.11,0.16,2.11,3.43,2.83,0.85,8.35,8.35,4.24,3.04,2.49,36:46,2.45
96,3023,1994,15.96,3.6,0.12,1.44,1.88,2.95,1.14,6.47,6.47,2.14,1.89,1.05,28:31,1.63
97,531,1994,12.94,2.11,0.23,1.95,2.35,5.68,2.42,4.56,4.56,1.84,1.39,0.73,24:10,0.92
98,2952,1994,13.73,2.63,0.38,2.62,3.97,2.34,0.86,5.37,5.37,2.86,2.12,1.6,29:06,1.89
99,616,1994,9.32,0.5,0.94,5.0,7.65,0.0,0.0,3.09,3.09,3.97,3.15,0.35,26:37,2.0
100,2919,1994,5.64,1.53,0.4,2.33,3.38,0.28,0.1,2.26,2.26,1.45,1.02,0.48,18:20,1.21
101,546,1994,15.32,1.81,0.36,2.17,3.09,5.19,2.0,4.58,4.58,5.04,4.15,0.6,29:30,2.3
102,671,1994,18.83,4.56,0.35,4.88,7.22,2.59,1.0,7.22,7.22,4.37,3.38,0.96,39:55,2.56
103,697,1994,17.6,9.44,0.19,2.46,3.47,4.08,1.35,5.71,5.71,5.75,4.83,1.43,37:20,3.13
104,684,1994,14.31,3.51,0.43,4.27,7.17,0.31,0.03,5.76,5.76,4.47,2.77,1.14,32:48,2.91
105,660,1994,11.54,1.38,3.91,8.66,12.55,0.0,0.0,4.26,4.26,4.62,3.02,0.49,37:48,2.34
106,685,1994,5.08,0.7,0.41,1.6,2.29,0.19,0.02,2.08,2.08,1.19,0.9,0.46,13:06,0.59
107,706,1994,6.51,1.33,0.82,3.29,4.78,0.04,0.0,2.45,2.45,1.95,1.6,0.44,18:12,1.56
108,661,1994,5.02,1.15,0.02,0.85,1.38,1.13,0.36,1.84,1.84,1.24,0.98,1.22,13:06,0.75
109,673,1994,13.86,2.59,0.62,2.78,4.84,0.34,0.09,5.22,5.22,4.55,3.32,1.32,31:04,2.0
110,702,1994,7.9,0.84,0.68,3.17,4.73,0.0,0.0,3.11,3.11,2.57,1.68,0.6,20:00,1.81
111,735,1994,29.3,2.71,2.43,7.25,11.41,0.06,0.0,11.77,11.77,10.81,5.76,0.92,37:00,2.58
