,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
0,2895,1990,18.43,2.2,1.34,6.62,10.26,0.51,0.18,6.95,6.95,5.97,4.36,0.96,35:09,2.93
1,2895,1991,19.83,3.15,1.51,6.38,9.51,1.17,0.35,7.43,7.43,6.05,4.62,0.83,33:57,3.82
2,671,1991,19.22,3.56,0.62,7.02,10.96,0.27,0.06,7.51,7.51,4.99,4.13,0.99,37:09,1.95
3,2895,1992,20.68,3.63,1.66,7.96,11.21,1.3,0.3,7.42,7.42,6.86,5.54,1.21,36:18,3.2
4,671,1992,22.07,4.3,0.33,7.11,10.54,0.87,0.22,8.88,8.88,5.34,4.1,0.65,40:31,2.77
5,735,1992,23.37,1.88,3.53,9.63,13.85,0.02,0.0,9.05,9.05,8.9,5.27,0.74,37:54,3.79
6,2895,1993,20.25,3.4,1.84,7.9,11.3,1.57,0.49,7.03,7.03,7.36,5.7,0.88,36:04,2.7
7,671,1993,16.35,3.61,0.27,5.98,8.78,0.41,0.1,6.78,6.78,3.86,2.69,0.57,34:27,2.27
8,735,1993,29.35,2.41,2.85,8.49,13.23,0.02,0.0,11.77,11.77,10.49,5.81,0.94,39:48,2.74
9,847,1993,17.54,3.58,2.16,5.12,9.13,0.18,0.0,7.53,7.53,4.67,2.49,1.22,32:04,2.71
10,2895,1994,20.46,3.34,1.68,7.57,10.55,2.14,0.5,6.63,6.63,8.75,6.71,0.63,37:33,3.07
11,671,1994,18.83,4.56,0.35,4.88,7.22,2.59,1.0,7.22,7.22,4.37,3.38,0.96,39:55,2.56
12,735,1994,29.3,2.71,2.43,7.25,11.41,0.06,0.0,11.77,11.77,10.81,5.76,0.92,37:00,2.58
13,847,1994,20.09,4.74,1.57,5.89,9.59,2.69,0.74,8.59,8.59,4.31,2.17,1.54,38:16,3.09
14,907,1994,21.94,2.46,0.28,4.3,6.41,3.35,1.08,7.95,7.95,6.24,4.96,1.44,36:58,3.91
15,2895,1995,11.18,2.82,0.91,5.36,6.55,1.91,0.64,4.36,4.36,2.91,1.82,0.36,26:43,2.55
16,671,1995,20.49,4.38,0.53,5.36,8.43,2.26,0.83,7.2,7.2,6.96,5.27,0.68,40:25,2.25
17,735,1995,26.56,2.87,2.13,7.67,11.04,0.04,0.02,10.96,10.96,9.46,4.61,0.63,36:02,2.87
18,847,1995,23.73,5.0,0.6,5.13,7.6,2.27,1.0,10.0,10.0,4.6,2.73,1.8,37:12,3.27
19,907,1995,20.24,3.57,0.51,4.49,6.15,3.21,1.1,7.65,7.65,4.74,3.85,1.16,39:37,3.44
20,957,1995,15.26,0.96,1.63,5.09,8.74,0.34,0.12,5.72,5.72,4.78,3.7,1.04,34:24,1.68
21,2895,1996,18.11,3.39,1.32,7.3,10.05,2.09,0.56,6.39,6.39,6.4,4.77,0.88,36:49,3.23
22,671,1996,12.84,2.29,0.47,3.0,5.17,1.38,0.45,4.95,4.95,3.61,2.5,0.86,34:22,1.79
23,735,1996,26.2,3.12,2.88,8.73,12.55,0.08,0.0,10.82,10.82,9.39,4.55,0.9,38:05,2.86
24,847,1996,20.07,4.6,1.9,7.01,10.32,2.1,0.83,8.39,8.39,4.35,2.46,1.69,39:00,3.19
25,907,1996,21.11,3.1,0.85,4.65,6.28,2.25,0.79,8.36,8.36,4.55,3.6,1.29,38:52,3.36
26,957,1996,18.66,1.56,1.08,5.23,8.49,0.58,0.15,7.34,7.34,4.71,3.84,0.93,38:34,2.4
27,1037,1996,23.51,7.46,0.32,2.59,4.11,5.99,2.04,8.22,8.22,7.16,5.03,2.07,40:01,4.43
28,1014,1996,4.78,0.54,0.37,1.53,2.28,0.06,0.03,1.79,1.79,1.62,1.16,0.31,11:34,1.12
29,2895,1997,17.93,2.42,1.18,7.44,10.0,1.64,0.45,6.15,6.15,6.73,5.18,0.78,36:21,2.69
30,671,1997,15.53,2.14,0.19,3.23,5.73,0.9,0.21,6.13,6.13,4.04,3.06,0.57,34:29,1.81
31,735,1997,28.39,2.36,2.39,7.93,11.42,0.0,0.0,11.19,11.19,11.39,6.02,0.66,36:13,2.9
32,847,1997,21.9,3.85,1.75,7.01,9.49,2.89,0.92,9.11,9.11,4.69,2.76,1.56,39:33,2.61
33,907,1997,23.36,2.82,0.61,4.02,5.48,1.16,0.45,9.54,9.54,4.75,3.84,1.23,40:56,3.57
34,957,1997,14.71,1.17,0.65,3.47,5.97,0.1,0.0,5.91,5.91,3.72,2.88,0.79,29:50,2.03
35,1037,1997,21.71,6.23,0.32,2.63,3.7,2.92,0.87,8.03,8.03,6.59,4.78,2.22,39:20,3.06
36,1089,1997,21.02,2.7,2.46,8.52,11.85,0.12,0.0,8.56,8.56,5.91,3.91,0.68,39:00,3.41
37,1014,1997,13.93,1.33,1.25,3.11,4.54,0.02,0.01,5.69,5.69,3.54,2.53,0.75,28:43,2.11
38,2895,1998,13.14,2.11,1.14,6.81,8.86,0.89,0.19,4.54,4.54,5.14,3.86,0.65,31:51,2.43
39,671,1998,11.98,2.43,0.2,3.94,5.8,1.88,0.67,4.29,4.29,3.35,2.73,0.69,33:27,1.82
40,735,1998,26.31,2.33,1.67,6.9,10.71,0.02,0.0,10.41,10.41,10.16,5.49,0.73,34:45,2.49
41,847,1998,19.98,4.12,2.12,9.43,12.98,0.81,0.1,9.0,9.0,4.14,1.88,1.43,40:59,3.52
42,907,1998,18.4,2.13,0.87,4.32,5.87,1.68,0.66,7.38,7.38,3.43,2.98,0.98,33:32,2.26
43,957,1998,13.67,1.58,1.53,4.65,8.23,0.07,0.0,5.19,5.19,4.37,3.3,0.74,33:00,1.53
44,1037,1998,26.75,4.65,0.15,3.54,4.92,4.15,1.21,9.06,9.06,9.88,7.42,2.29,41:29,3.48
45,1089,1998,21.68,2.42,2.52,8.24,11.42,0.14,0.02,8.36,8.36,7.16,4.94,0.9,39:15,2.92
46,1179,1998,8.91,0.56,1.22,5.27,7.93,0.0,0.0,3.82,3.82,2.62,1.27,0.6,28:28,1.89
47,1014,1998,8.56,0.96,0.9,2.44,3.56,0.0,0.0,3.19,3.19,3.13,2.19,0.25,16:54,1.46
48,2895,1999,16.74,2.36,1.76,6.86,8.54,1.91,0.69,6.03,6.03,5.09,4.0,0.46,31:46,2.34
49,671,1999,10.78,2.51,0.1,4.19,5.45,2.49,0.84,4.04,4.04,2.42,1.86,0.61,32:48,1.36
50,735,1999,29.67,3.78,3.03,9.39,13.65,0.01,0.0,12.1,12.1,10.43,5.47,0.46,40:03,2.82
51,847,1999,24.45,4.6,1.71,7.97,10.49,1.27,0.36,9.97,9.97,5.52,4.15,1.6,38:24,2.91
52,907,1999,20.9,2.38,0.51,4.67,5.99,2.93,1.06,8.52,8.52,3.49,2.8,0.96,35:57,2.75
53,957,1999,9.92,1.13,1.09,3.82,6.21,0.01,0.01,3.71,3.71,3.31,2.5,0.58,25:19,1.53
54,1037,1999,28.43,4.74,0.07,2.85,3.87,3.72,1.28,10.41,10.41,8.82,6.32,2.07,41:03,3.32
55,1089,1999,23.19,3.16,2.23,8.86,12.41,0.15,0.01,8.49,8.49,8.15,6.2,0.89,38:53,3.27
56,1179,1999,9.79,0.48,1.75,5.78,8.2,0.0,0.0,4.13,4.13,2.36,1.54,0.44,31:09,2.21
57,1247,1999,20.09,1.91,1.63,5.7,10.0,0.02,0.0,7.78,7.78,6.62,4.53,0.81,36:59,2.81
58,1014,1999,6.53,0.37,0.23,1.55,2.25,0.05,0.0,2.58,2.58,1.7,1.37,0.17,13:16,1.05
59,2895,2000,8.15,1.15,0.62,4.06,5.41,1.5,0.59,2.85,2.85,2.71,1.85,0.29,20:04,1.24
60,671,2000,9.92,1.95,0.45,4.2,5.58,2.51,0.78,3.78,3.78,1.97,1.57,0.6,32:26,1.49
61,735,2000,28.72,3.74,2.76,8.77,12.7,0.03,0.0,10.99,10.99,13.14,6.74,0.64,39:29,2.95
62,847,2000,27.11,4.2,1.69,8.54,11.1,0.4,0.03,11.23,11.23,6.59,4.63,1.33,40:29,2.79
63,907,2000,22.03,3.32,0.82,5.29,6.92,2.42,0.72,9.0,9.0,4.03,3.3,1.13,36:59,2.88
64,957,2000,12.28,1.14,0.72,4.8,7.12,0.07,0.0,4.46,4.46,4.16,3.35,0.68,28:08,1.28
65,1037,2000,31.08,4.58,0.28,3.14,3.85,4.31,1.38,10.73,10.73,10.13,8.24,2.51,41:54,3.34
66,1089,2000,22.2,2.99,2.34,9.0,12.16,0.33,0.09,8.56,8.56,8.07,4.99,0.85,38:42,2.95
67,1179,2000,8.55,0.56,1.32,4.35,6.4,0.0,0.0,3.76,3.76,1.9,1.04,0.37,25:56,2.06
68,1247,2000,20.14,3.24,1.59,6.23,10.08,0.04,0.0,7.81,7.81,6.38,4.51,0.96,39:19,2.96
69,1281,2000,11.97,1.93,1.66,5.37,7.38,0.16,0.01,5.09,5.09,2.82,1.78,1.15,33:25,2.03
