PK,Player ID.1,Season,Average Points,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
1,2895,1990,18.43,1.34,6.62,10.26,0.51,0.18,6.95,6.95,5.97,4.36,0.96,35:09:00,2.93
2,2968,1990,7.17,0.18,1.65,2.96,0.16,0.01,3.16,3.16,1.18,0.84,2.01,27:21:00,2.2
3,3023,1990,14.06,0.06,1.3,1.81,1.49,0.36,6.22,6.22,1.46,1.25,0.82,22:27,1.64
4,531,1990,15.66,0.3,2.11,2.87,4.07,1.52,6.13,6.13,2.49,1.87,0.76,28:29:00,1.55
5,2952,1990,11.05,0.48,1.93,3.21,0.17,0.02,4.59,4.59,2.22,1.85,1.27,23:42,1.99
6,616,1990,7.06,1.49,4.56,7.91,0.01,0,2.41,2.41,3.11,2.25,0.59,25:54:00,0.95
7,2919,1990,17.99,1.08,6.38,8.82,0.14,0.04,6.95,6.95,5.51,4.05,1.43,37:41:00,2.91
8,2905,1990,6.92,0.13,1.24,1.92,1.05,0.31,2.56,2.56,1.92,1.48,0.48,16:11,1.24
9,546,1990,12.04,0.32,1.99,3.45,0.39,0.05,4.49,4.49,3.86,3.01,0.95,25:22:00,1.89
10,608,1990,5.64,0.17,1.09,1.51,0.23,0.04,2.3,2.3,1.7,1,0.68,14:20,1.62
1,671,1991,19.22,0.62,7.02,10.96,0.27,0.06,7.51,7.51,4.99,4.13,0.99,37:09:00,1.95
2,697,1991,7.03,0.14,1.39,1.98,0.2,0.05,2.92,2.92,1.53,1.14,1.05,16:58,1.52
3,684,1991,14.26,0.81,4.95,7.99,0.11,0.01,5.85,5.85,3.9,2.55,1.13,31:22:00,2.24
4,660,1991,16.58,2.96,7.8,12.25,0,0,6.03,6.03,7.04,4.52,0.61,38:15:00,3.55
5,685,1991,8.83,0.45,3.45,5.14,0.14,0,3.83,3.83,1.59,1.17,0.82,22:27,1.28
6,706,1991,4.26,0.97,2.88,3.89,0,0,1.73,1.73,1.21,0.8,0.53,15:00,1.26
7,661,1991,10.59,0.18,1.84,2.89,0.39,0.05,4.38,4.38,2.43,1.78,2.03,30:18:00,2.04
8,673,1991,13.34,0.33,2.79,5.12,0.07,0.01,5.37,5.37,3.9,2.6,1.51,30:32:00,2.21
9,702,1991,9.1,1.1,3.27,5.67,0,0,3.56,3.56,2.96,1.98,0.85,18:51,1.79
1,735,1992,23.37,3.53,9.63,13.85,0.02,0,9.05,9.05,8.9,5.27,0.74,37:54:00,3.79
2,771,1992,21.01,3.47,6.95,10.32,0.04,0,7.33,7.33,8.13,6.35,0.35,33:53:00,3.03
3,740,1992,18.17,1.02,6.63,8.74,0.49,0.05,6.21,6.21,6.83,5.7,1.3,34:51:00,3.4
4,793,1992,16.32,0.39,2.86,4.36,2.61,0.75,6.57,6.57,3.29,2.43,1.43,33:30:00,4.11
5,752,1992,14.7,1.35,5.73,9.07,0.16,0.02,5.89,5.89,3.87,2.89,0.88,33:31:00,1.87
6,731,1992,14.65,0.43,6.94,9.64,1.67,0.47,5.98,5.98,3.47,2.23,1.65,34:30:00,2.84
7,732,1992,16.97,0.49,2.54,4.49,3.24,1.03,6.07,6.07,5.12,3.8,1.12,28:21:00,3.03
8,727,1992,13.85,0.68,2.07,4.1,2.59,0.76,5.04,5.04,4.18,3,1.06,27:11:00,1.66
9,736,1992,6.61,0.2,3.18,5.27,0.01,0,2.29,2.29,2.89,2.02,0.7,18:53,1.22
1,847,1993,17.54,2.16,5.12,9.13,0.18,0,7.53,7.53,4.67,2.49,1.22,32:04:00,2.71
2,818,1993,10.29,3,4.24,6.24,0.06,0,4.1,4.1,3.43,2.08,0.92,28:15:00,3.02
3,799,1993,16.01,0.62,3.01,5.35,2.28,0.61,6.21,6.21,4.02,2.99,2.32,36:46:00,3.56
4,826,1993,19.15,0.18,3.11,4.47,3.78,1.08,7.1,7.1,5.54,3.87,1.13,36:39:00,3.1
5,837,1993,16.62,0.35,2.49,3.99,1.9,0.68,6.61,6.61,3.35,2.72,0.68,30:34:00,2.76
6,820,1993,11.98,0.15,1.57,2.92,0.35,0.02,5.03,5.03,2.48,1.91,0.97,24:40:00,1.66
7,803,1993,7.05,0.05,1.47,1.79,0.84,0.11,2.84,2.84,1.58,1.26,0.68,26:15:00,2.53
8,810,1993,13.48,1.39,4.2,7.57,0.06,0.01,5.3,5.3,5.01,2.85,0.73,31:13:00,1.98
9,806,1993,8.1,0.61,1.72,2.86,1.16,0.44,3.03,3.03,2.39,1.61,0.8,17:47,1.66
10,835,1993,10.28,0.12,1.73,2.3,2.52,0.84,4.09,4.09,1.73,1.27,1.48,26:29:00,2.24
1,907,1994,21.94,0.28,4.3,6.41,3.35,1.08,7.95,7.95,6.24,4.96,1.44,36:58:00,3.91
2,908,1994,11.67,0.3,3.52,5.44,3.25,0.89,4.18,4.18,3.48,2.43,1.91,33:46:00,3.16
3,879,1994,19.91,0.89,4.57,6.36,0.39,0.06,7.26,7.26,7.3,5.34,1.77,38:15:00,2.89
4,877,1994,12.58,1.22,3.72,5.63,3.38,0.96,4.79,4.79,3.08,2.04,0.63,28:58:00,1.6
5,922,1994,16.98,0.23,5.55,8.38,0.11,0,7,7,4.49,2.98,0.8,36:07:00,2.55
6,899,1994,11.44,1.32,3.56,5.97,0.1,0,4.57,4.57,3.57,2.3,0.47,25:52:00,1.91
7,884,1994,14.1,0.68,2.74,4.37,2.69,0.8,5.42,5.42,3.26,2.46,0.89,31:33:00,2.01
8,892,1994,13.23,1.45,4.89,7.48,0.05,0.01,5.16,5.16,4.54,2.89,0.61,28:36:00,2.04
9,887,1994,10.01,0.78,4.74,7.26,0.01,0,3.94,3.94,3.37,2.14,0.37,29:40:00,1.44
10,881,1994,14.02,0.64,2.66,3.89,3.84,1.42,5.34,5.34,2.64,1.91,2.05,30:57:00,1.17
1,957,1995,15.26,1.63,5.09,8.74,0.34,0.12,5.72,5.72,4.78,3.7,1.04,34:24:00,1.68
2,965,1995,13.42,1.5,4.51,7.53,0.05,0,5.62,5.62,3.2,2.18,0.71,30:00:00,2.03
